X,Y
0.0,0.0
0.05263157894736842,0.26760000000000006
0.10526315789473684,0.38820000000000016
0.15789473684210525,0.45649999999999996
0.21052631578947367,0.48719999999999986
0.2631578947368421,0.49220000000000014
0.3157894736842105,0.5055000000000001
0.3684210526315789,0.5024999999999998
0.42105263157894735,0.49809999999999993
0.47368421052631576,0.508
0.5263157894736842,0.5044999999999998
0.5789473684210527,0.4983999999999999
0.631578947368421,0.5029
0.6842105263157894,0.5100999999999999
0.7368421052631579,0.49250000000000005
0.7894736842105263,0.504
0.8421052631578947,0.5026000000000002
0.894736842105263,0.49990000000000007
0.9473684210526315,0.5105999999999999
1.0,0.5009
